"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"3121","But the staff was so horrible to us.","staff","negative","8","13","service","negative"
"2777","To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","food","positive","57","61","food","positive"
"","","","","","","anecdotes/miscellaneous","negative"
"1634","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","food","positive","4","8","food","positive"
"","","kitchen","positive","55","62","",""
"","","menu","neutral","141","145","",""
"2534","Where Gabriela personaly greets you and recommends you what to eat.","","","","","service","positive"
"583","For those that go once and don't enjoy it, all I can say is that they just don't get it.","","","","","anecdotes/miscellaneous","positive"
"2846","Not only was the food outstanding, but the little 'perks' were great.","food","positive","17","21","food","positive"
"","","perks","positive","51","56","service","positive"
"1571","It is very overpriced and not very tasty.","","","","","food","negative"
"","","","","","","price","negative"
"1458","Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).","orrechiete with sausage and chicken","positive","27","62","food","positive"
"","","waiters","positive","76","83","service","positive"
"","","meats","neutral","152","157","",""
"","","dish","neutral","113","117","",""
"3161","The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","Bagels","positive","4","10","food","positive"
"2391","Nevertheless the food itself is pretty good.","food","positive","17","21","food","positive"
"296","They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","toast","negative","41","46","food","negative"
"","","mayonnaise","negative","18","28","",""
"","","bacon","negative","126","131","",""
"","","cheese","neutral","73","79","",""
"","","ingredients","negative","57","68","",""
"","","plate","neutral","170","175","",""
"","","omelet","neutral","86","92","",""
"1793","It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","drinks","neutral","82","88","service","conflict"
"","","check","neutral","32","37","",""
"2200","The design and atmosphere is just as good.","design","positive","4","10","ambience","positive"
"","","atmosphere","positive","15","25","",""
"3195","He has visited Thailand and is quite expert on the cuisine.","cuisine","positive","51","58","food","positive"
"3119","I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.","","","","","anecdotes/miscellaneous","positive"
"3359","The pizza is the best if you like thin crusted pizza.","pizza","positive","4","9","food","positive"
"","","thin crusted pizza","neutral","34","52","",""
"70","My Girlfriend and I stumbled onto this hopping place the other night and had a great time!","","","","","anecdotes/miscellaneous","positive"
"1829","He can't help, they're bought up so fast.","","","","","anecdotes/miscellaneous","neutral"
"2935","Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","","","","","ambience","negative"
"1805","i have eaten here a handful of times, for no reason besides sheer convenience.","","","","","anecdotes/miscellaneous","neutral"
"2559","Obviously run by folks who know a pie.","","","","","service","positive"
"716","We were very disappointed.","","","","","anecdotes/miscellaneous","negative"
"2464","IT IS DEFINITELY SPECIAL AND AFFORDABLE.","","","","","anecdotes/miscellaneous","positive"
"","","","","","","price","positive"
"385","I really liked this place.","","","","","anecdotes/miscellaneous","positive"
"1350","I will be going back very soon.","","","","","anecdotes/miscellaneous","positive"
"3534","All the money went into the interior decoration, none of it went to the chefs.","interior decoration","positive","28","47","ambience","positive"
"","","chefs","negative","72","77","food","negative"
"1407","The seats are uncomfortable if you are sitting against the wall on wooden benches.","seats","negative","4","9","ambience","negative"
"565","I asked for seltzer with lime, no ice.","seltzer with lime","neutral","12","29","food","neutral"
"387","It was pretty inexpensive too.","","","","","price","positive"
"1314","Will not be back.","","","","","anecdotes/miscellaneous","negative"
"675","Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","pickles","positive","77","84","food","positive"
"","","selection of meats and seafoods","positive","91","122","",""
"2227","My suggestion is to eat family style because you'll want to try the other dishes.","dishes","neutral","74","80","food","neutral"
"","","eat family style","positive","20","36","",""
