Yum!| NULL| positive
Serves really good sushi.| sushi| positive
Not the biggest portions but adequate.| portions| neutral
Green Tea creme brulee is a must!| Green Tea creme brulee| positive
Don&apos;t leave the restaurant without it.| NULL| positive
No Comparison| NULL| positive
– I can&apos;t say enough about this place.| place| positive
It has great sushi and even better service.| sushi| positive
It has great sushi and even better service.| service| positive
The entire staff was extremely accomodating and tended to my every need.| staff| positive
I&apos;ve been to this restaurant over a dozen times with no complaints to date.| restaurant| positive
Snotty Attitude| NULL| negative
– We were treated very rudely here one time for breakfast.| NULL| negative
The owner is belligerent to guests that have a complaint.| owner| negative
Good food!| food| positive
– We love breakfast food.| NULL| NULL
This is a great place to get a delicious meal.| meal| positive
We never had to wait more than 5 minutes.| NULL| positive
The staff is pretty friendly.| staff| positive
The onion rings are great!| onion rings| positive
They are not greasy or anything.| NULL| positive
Overrated| NULL| negative
– I was highly disappointed in the food at Pagoda.| food| negative
The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.| lemon chicken| negative
The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.| honey walnut prawns| negative
The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.| honey walnut prawns| negative
The prices are outrageous, especially since the food was actually less satisfying than most neighborhood Chinese establishments.| NULL| NULL
Nice ambience, but highly overrated place.| ambience| positive
Nice ambience, but highly overrated place.| place| negative
I will not go back.| NULL| negative
Worst Service I Ever Had| Service| positive
– A group of 5 of us went there for Sunday brunch and sat outside.| NULL| NULL
Everyone that sat in the back outside agreed that it was the worst service we had ever received.| service| negative
Our waiter was non-existent and after our food finally arrived over an hour after we ordered, we were not given any water or utensils.| waiter| negative
I complained to the manager, but he was not even apologetic.| manager| negative
I will never return again.| NULL| negative
Fabulous Italian Food!| Italian Food| positive
– I highly recommend Mioposto.| Mioposto| positive
I am so happy to have a wonderful Italian restaurant in my neighborhood.| Italian restaurant| positive
The wine list is wonderful and the food reminds me of my recent trip to Italy.| wine list| positive
The wine list is wonderful and the food reminds me of my recent trip to Italy.| food| positive
I love this restaurant| restaurant| positive
– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.| meal| positive
– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.| service| positive
– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.| ambiance| positive
It was absolutely amazing.| NULL| positive
The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.| wine list| positive
The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.| food| positive
The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.| staff| positive
I have not a bad thing to say about this place.| place| positive
AMAZING.| NULL| positive
I cannot wait to go back again this coming weekend!| NULL| positive
Mmm... good!| NULL| positive
– Went there last night with a friend.| NULL| NULL
She had heard from a co-worker about this place.| NULL| NULL
The food was great!| food| positive
It&apos;s *very* reasonably priced, esp for the quality of the food.| food| positive
It&apos;s *very* reasonably priced, esp for the quality of the food.| food| positive
I had the Kafta plate and it was perfect.| Kafta plate| positive
We&apos;re going back. :D| NULL| positive
Finally a meal that you will remember for a long time!| meal| positive
– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.| food| positive
– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.| service| positive
This is the place to relax and enjoy the finest quality food the industry can offer.| place| positive
This is the place to relax and enjoy the finest quality food the industry can offer.| food| positive
Caution - its real food for people who love the best.| food| positive
Some of the food is clearly oriented toward foodies (like me) so if your not a foodie (nothing wrong with that)- head over to McDonalds or some Ruby Tuesday and have at it!| NULL| NULL
If your looking for real quality  (not the BS that is seen on yelp ratings - which allegedly recently got in trouble for &quot;adjusting&quot; ratings), you need to get in here!| NULL| NULL
Very Disappointing| NULL| negative
– I took my parents here for their anniversary-very very disappointed!!!| NULL| negative
I liked the atmosphere very much but the food was not worth the price.| atmosphere| positive
I liked the atmosphere very much but the food was not worth the price.| food| negative
I liked the atmosphere very much but the food was not worth the price.| food| negative
I may not be a sushi guru but I can tell you that the food here is just okay and that there is not much else to it.| food| negative
Rice is too dry, tuna wasn&apos;t so fresh either.| Rice| negative
Rice is too dry, tuna wasn&apos;t so fresh either.| tuna| negative
Nothing really came across as outstanding.| NULL| negative
Very disappointed.| NULL| negative
I have eaten here three times and have found the quality and variety of the fish to be excellent.| fish| positive
I have eaten here three times and have found the quality and variety of the fish to be excellent.| fish| positive
However, the value and service are both severely lacking.| service| negative
However, the value and service are both severely lacking.| NULL| negative
Portions contain less fish than one would expect, particularly since prices are in line with the best sushi places in NYC (Masa excluded, of course).| NULL| NULL
Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.| fish| positive
Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.| rolls| negative
The service ranges from mediocre to offensive.| service| negative
On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.| waiter| negative
On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.| staff members| negative
We were then charged for their most expensive sake ($20+ per serving) when we in fact drank a sake of less than half that price.| NULL| negative
But Im sure this was just an honest mistake...| NULL| NULL
Freshest sushi  – I love this restaurant.| sushi| positive
Freshest sushi  – I love this restaurant.| restaurant| positive
They pay such detail to everything from miso soup to complex rolls.| miso soup| positive
They pay such detail to everything from miso soup to complex rolls.| rolls| positive
The sashimi was the freshest and most tender I have ever tasted.| sashimi| positive
Their apps are all delicious.| apps| positive
The only drawback is that this place is really expensive and the portions are on the small side.| place| negative
The only drawback is that this place is really expensive and the portions are on the small side.| portions| negative
But the space is small and lovely, and the service is helpful.| space| positive
But the space is small and lovely, and the service is helpful.| service| positive
You are bound to have a very charming time.| NULL| positive
Not recommanded!!!| NULL| negative
– The food was not great &amp; the waiters were rude.| food| negative
– The food was not great &amp; the waiters were rude.| waiters| negative
It is not worth going at all and spend your money there!!!| NULL| negative
great service| service| positive
– Pretty cheap for sit down Mexican AND downtown.| NULL| positive
– Pretty cheap for sit down Mexican AND downtown.| NULL| positive
my service was stellar!| service| positive
the bus boy even spotted that my table was shaking a stabilized it for me.| bus boy| positive
food was fine, with a some little-tastier-than-normal salsa.| food| positive
food was fine, with a some little-tastier-than-normal salsa.| salsa| positive
If you&apos;re in the area you shouldn&apos;t be disappointed.| NULL| positive
Ok.... – Maybe I went in on someone&apos;s bad day....| NULL| negative
the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.| food| positive
the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.| margaritas| positive
the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.| waitress| negative
Took forever to get our order taken, water refills were too much to ask for and the only time she was fast was when we asked for our bill when we could get her attention.| NULL| negative
I don&apos;t know if I&apos;ll be back....| NULL| negative
